"nationality","total_wins"
"United Kingdom","309"
"Germany","176"
"Brazil","101"
"France","81"
"Finland","57"
"Australia","43"
"Italy","43"
"Austria","41"
"Argentina","38"
"Netherlands","36"
"United States","33"
"Spain","33"
"Canada","17"
"Sweden","12"
"New Zealand","12"
"Belgium","11"
"South Africa","10"
"Switzerland","7"
"Colombia","7"
"Mexico","6"
"Monaco","5"
"West Germany","3"
"Venezuela","1"
"Poland","1"
"Monaco Netherlands","0"
"Uruguay","0"
"Hungary","0"
"China","0"
"Russia","0"
"Czech Republic","0"
"Rhodesia and Nyasaland","0"
"Ireland","0"
"Portugal","0"
"Belgium France","0"
"East Germany","0"
"Liechtenstein","0"
"Indonesia","0"
"India","0"
"Morocco","0"
"Chile","0"
"Rhodesia","0"
"Malaysia","0"
"East Germany, West Germany","0"
"Japan","0"
"RAF","0"
"Denmark","0"
"Thailand","0"
